confidence,recall
0.003425056,0.884546895
0.007176353,0.877460081
0.013445642,0.873580918
0.016989028,0.866348742
0.023686461,0.859466844
0.03101444,0.850893551
0.03808579,0.845046186
0.043459224,0.839254485
0.050444729,0.836709362
0.058997097,0.830884115
0.066631829,0.82845921
0.074505146,0.824970502
0.082378464,0.821766959
0.090251781,0.819327897
0.098125099,0.816961643
0.105998416,0.814522581
0.113871734,0.812192731
0.121745051,0.810154113
0.129618369,0.80807909
0.137491686,0.806186087
0.145365004,0.804220276
0.153238321,0.802509292
0.161111639,0.800980328
0.168984956,0.799633384
0.176858274,0.798541266
0.184731591,0.797303534
0.192604909,0.796284224
0.200478226,0.795082895
0.208351544,0.793845163
0.216224861,0.792243391
0.224098179,0.790568811
0.231971496,0.788821424
0.239844814,0.787074036
0.247718131,0.785326649
0.255591449,0.783870492
0.263464766,0.782559952
0.271338084,0.781140199
0.279211401,0.779793255
0.287084719,0.778591926
0.294958036,0.777427001
0.302831354,0.776407692
0.310704671,0.775206363
0.318577989,0.773932226
0.326451306,0.772803705
0.334324624,0.771420356
0.342197941,0.769891392
0.350071259,0.768034793
0.357944576,0.76614179
0.365817894,0.764103171
0.373691211,0.762028149
0.381564529,0.759880318
0.389437846,0.757878103
0.397311164,0.7559851
0.405184481,0.754237713
0.413057799,0.752490325
0.420931116,0.750706534
0.428804434,0.748813531
0.436677751,0.746884124
0.444551069,0.744772697
0.452424386,0.742588463
0.460297704,0.74051344
0.468171021,0.738474821
0.476044339,0.736618222
0.483917656,0.734943642
0.491790974,0.733159851
0.499664291,0.731230444
0.507537609,0.729155421
0.515410926,0.726971187
0.523284244,0.724714145
0.531157561,0.722457103
0.539030879,0.720163656
0.546904196,0.71787021
0.554777514,0.715613168
0.562650831,0.713356126
0.570524149,0.711171892
0.578397466,0.708805638
0.586270784,0.706548596
0.594144101,0.704364361
0.602017419,0.702216531
0.609890736,0.700032296
0.617764054,0.697848062
0.625637371,0.695409
0.633510689,0.692642303
0.641384006,0.689693587
0.649257324,0.686599255
0.657130641,0.683468519
0.665003959,0.680301379
0.672877276,0.677170643
0.680750594,0.6739671
0.688623911,0.67079996
0.696497229,0.6674508
0.704370546,0.66381041
0.712005278,0.65973924
0.720227298,0.655093074
0.728229084,0.651196456
0.735640143,0.64629103
0.743212246,0.641572477
0.750894695,0.636930676
0.758231196,0.632075305
0.765657165,0.627770543
0.772701399,0.622991923
0.779683998,0.618426873
0.785807689,0.612753931
0.792567608,0.608727255
0.798691299,0.602876338
0.805376368,0.59898576
0.810934004,0.592814227
0.817504751,0.588702326
0.822425574,0.5821701
0.828956849,0.578015504
0.833877672,0.570857586
0.840466463,0.56670299
0.843612644,0.559787648
0.850234113,0.553288151
0.856700293,0.544054407
0.862457218,0.535321609
0.867562945,0.526487075
0.87251818,0.51767953
0.876867775,0.508338427
0.881162312,0.498894647
0.884582036,0.48792696
0.888422124,0.479120392
0.891898654,0.469755748
0.89552856,0.460042145
0.898459752,0.450841491
0.901322776,0.441898265
0.904185801,0.432220893
0.905945368,0.421567442
0.909172235,0.411424555
0.911403009,0.40208756
0.913550277,0.393511406
0.915697546,0.38460155
0.917665875,0.375527877
0.919813143,0.366014323
0.920937903,0.355869767
0.923248773,0.34567182
0.925396041,0.334672986
0.927507522,0.322658029
0.929833729,0.310112484
0.93220123,0.298236783
0.933114278,0.288128165
0.933889681,0.27931842
0.935798364,0.270208343
0.936991291,0.261219611
0.938422803,0.25244627
0.939854315,0.243078331
0.941395944,0.232902973
0.942836632,0.222422148
0.944148852,0.212620397
0.944929677,0.203410208
0.946244995,0.193833381
0.947676507,0.183278848
0.949324319,0.172713315
0.951361471,0.161778141
0.952618633,0.151276781
0.954169438,0.141814799
0.955362365,0.132589443
0.956793877,0.123212403
0.958225389,0.114102326
0.959656902,0.105092359
0.961326999,0.094630786
0.962997097,0.0849701
0.965723787,0.075616896
0.967482502,0.064293894
0.969762697,0.053821357
0.972724039,0.043431843
0.974747427,0.033846881
0.977073634,0.025165483
0.980712061,0.016828055
0.983515439,0.008593304
0.989076314,0.00286389
0.996041172,0.001928239
