confidence,recall
0.001154098,0.873471082
0.004548692,0.866629076
0.011151396,0.862947697
0.015163907,0.855767392
0.022050718,0.84938152
0.029468294,0.845033996
0.037650374,0.841487297
0.04553231,0.838584628
0.053412845,0.836153642
0.061292734,0.833940357
0.069171546,0.832089906
0.077050035,0.830348304
0.084927877,0.828824403
0.092804642,0.827663335
0.100681837,0.826357134
0.108558279,0.825304917
0.116435367,0.824034999
0.124312024,0.822910215
0.132189005,0.82167658
0.140065769,0.820515513
0.147942857,0.819245595
0.155818976,0.818302228
0.163694664,0.817503994
0.171569489,0.816996026
0.179444854,0.816306643
0.187319248,0.815943809
0.195194613,0.815254425
0.203070623,0.814347341
0.210946742,0.813403974
0.218823399,0.812279189
0.226701241,0.810755288
0.234578868,0.809303953
0.242456602,0.807816336
0.25033369,0.806546418
0.258210563,0.805349067
0.266087005,0.804296849
0.273963015,0.803389765
0.281838595,0.802627815
0.289714067,0.801902147
0.297589432,0.801212763
0.305464904,0.800487096
0.313340268,0.799797712
0.321216171,0.798926911
0.329092182,0.798019827
0.336968193,0.797112743
0.344844526,0.796096809
0.352720537,0.795189725
0.36059644,0.794318924
0.368471912,0.793593257
0.376347277,0.792903873
0.384222533,0.792250773
0.392097575,0.791670239
0.399972292,0.791198555
0.407847226,0.790654305
0.415722698,0.789928637
0.423597416,0.789456954
0.431472026,0.789021553
0.439347606,0.788259603
0.447222432,0.787751636
0.455097365,0.787207385
0.462972622,0.786554285
0.470848202,0.785792334
0.478724212,0.78488525
0.486600331,0.783941882
0.494476773,0.782889665
0.502354292,0.781474614
0.51023138,0.780204696
0.518108468,0.778934778
0.525985879,0.77755601
0.533863182,0.776213526
0.541740055,0.775016175
0.549617358,0.773673691
0.557494016,0.772548906
0.565371642,0.771097572
0.573249269,0.769646237
0.581126572,0.768303753
0.589003984,0.766924985
0.596881287,0.765582501
0.604757513,0.76460285
0.612633524,0.763695766
0.620509212,0.762897532
0.628384899,0.762099298
0.636260802,0.761228497
0.644137782,0.759994863
0.652015086,0.758652378
0.659892928,0.757128477
0.66777077,0.755604576
0.675648828,0.754008108
0.68352667,0.752484206
0.691405159,0.750742605
0.699284293,0.748783303
0.707163536,0.746787718
0.715042994,0.744719567
0.722923206,0.742397431
0.730803742,0.739966446
0.738684062,0.737608027
0.746563951,0.735394742
0.754444702,0.73289119
0.762326099,0.730169938
0.770207819,0.727339835
0.778090186,0.724292033
0.785973199,0.72102653
0.793856859,0.717543327
0.801740626,0.714023841
0.809624393,0.710504355
0.817508053,0.707021152
0.825391174,0.703719366
0.833273971,0.70052643
0.841157954,0.696934377
0.848745106,0.69287064
0.856630273,0.68887947
0.864237306,0.683142163
0.871586841,0.678751876
0.877574106,0.672803924
0.884232706,0.668424724
0.888980555,0.661393613
0.895679649,0.655094216
0.902585017,0.646284817
0.908522356,0.636728182
0.913599217,0.627906673
0.917975749,0.618834437
0.920150104,0.609711763
0.923993038,0.601100338
0.927466035,0.590810722
0.929448901,0.579601236
0.932381435,0.569789098
0.934615894,0.558966887
0.936142801,0.548753121
0.937355281,0.540341428
0.93971218,0.530004297
0.941896659,0.517472024
0.942642457,0.507353803
0.944338446,0.498633701
0.945558808,0.489393538
0.947139059,0.479476085
0.947524291,0.470263135
0.949415732,0.459999176
0.950356643,0.448451391
0.951327733,0.43786558
0.952864779,0.426016581
0.954419259,0.412174003
0.954906879,0.400655595
0.956520645,0.388071291
0.957159803,0.374960648
0.958707331,0.36210768
0.960298563,0.346377219
0.961929045,0.330115301
0.96253076,0.317773229
0.964002068,0.304370155
0.965037216,0.289516862
0.966287726,0.279675697
0.967149988,0.268684106
0.968440795,0.255806826
0.969407868,0.24533768
0.969997614,0.235518844
0.971153625,0.226036792
0.972201979,0.216288661
0.973334494,0.204675717
0.974416471,0.193647843
0.975733359,0.181977406
0.97663204,0.17064419
0.977914137,0.15887427
0.979470184,0.144420867
0.98102317,0.131263135
0.983007052,0.117654354
0.984555185,0.103586132
0.98610803,0.091082031
0.988101087,0.078736012
0.989520512,0.066735894
0.9919408,0.055138694
0.993164509,0.044771155
0.994622487,0.035857542
0.995842735,0.026655678
0.997371269,0.016937496
