confidence,recall
0.001062808,0.887170722
0.005076369,0.879637152
0.011795095,0.872465391
0.018828646,0.863481397
0.025770765,0.854206381
0.032707882,0.848332984
0.037955341,0.843408958
0.045087904,0.841231988
0.053411161,0.838041244
0.061293712,0.834931173
0.06917519,0.832182738
0.077056024,0.829651285
0.084936321,0.82730065
0.09281651,0.824986179
0.1006967,0.822671707
0.108576782,0.820393399
0.116456542,0.818223582
0.124335443,0.816343074
0.132213699,0.814679548
0.140091741,0.813088349
0.147969032,0.811750295
0.155846429,0.810376078
0.163722861,0.809327333
0.171599185,0.808314751
0.179475186,0.807410661
0.187351403,0.806434243
0.19522762,0.805457826
0.203103514,0.804589899
0.210979623,0.803649645
0.218855733,0.802709391
0.226732379,0.801588319
0.234610528,0.799960956
0.242488999,0.798225103
0.250368545,0.796127613
0.258248305,0.793957796
0.266127957,0.791824142
0.27400761,0.789690489
0.281885974,0.787990799
0.289763694,0.786508091
0.297640018,0.78549551
0.30551602,0.784591419
0.313392021,0.783687329
0.321268345,0.782674747
0.329145314,0.781445185
0.337022604,0.780107131
0.344900109,0.77869675
0.352778044,0.777141714
0.360655656,0.77569517
0.368533269,0.774248625
0.376410881,0.77280208
0.384288493,0.771355536
0.392166535,0.769764336
0.400044792,0.76810081
0.407923264,0.766364956
0.415801413,0.764737594
0.423679777,0.763037904
0.431558463,0.761229723
0.439437364,0.759349215
0.447315621,0.757685689
0.455193233,0.756239144
0.463070953,0.754756436
0.470948673,0.753273727
0.478825534,0.752080328
0.486702395,0.750886929
0.494578719,0.749874347
0.502455472,0.748717112
0.510332011,0.747632203
0.51820855,0.746547295
0.52608584,0.745209241
0.53396313,0.743871187
0.541840635,0.742460806
0.549718999,0.740761116
0.557597578,0.738989099
0.565476587,0.737072427
0.57335538,0.735228083
0.581234496,0.733275248
0.589113719,0.731286249
0.596993372,0.729152595
0.604873131,0.726982778
0.612753214,0.72470447
0.620633403,0.722389999
0.6285137,0.720039364
0.636393997,0.717688729
0.644275045,0.715084948
0.652157489,0.712011041
0.660039612,0.709045625
0.667922485,0.705827063
0.675805037,0.702716992
0.683687803,0.699534593
0.691570033,0.696533013
0.699451404,0.693820742
0.707332452,0.691216962
0.715214252,0.688360036
0.723096911,0.685213801
0.730980107,0.681886749
0.738863303,0.678559696
0.746746284,0.67530497
0.754629373,0.672014081
0.762512676,0.668650865
0.770396087,0.665251485
0.778279819,0.661743614
0.786163767,0.658163416
0.794206199,0.652862863
0.801478676,0.647584495
0.808944647,0.642974697
0.815308075,0.63727988
0.822110683,0.632936103
0.827687287,0.626547907
0.834273739,0.622262589
0.838493551,0.615287833
0.844774942,0.611211915
0.848339854,0.603961905
0.854907528,0.59691367
0.861304424,0.587456766
0.866566411,0.578019676
0.871603194,0.569097595
0.876437754,0.559408329
0.878816353,0.550372592
0.88251991,0.542785981
0.886022829,0.533897998
0.88963035,0.524218203
0.893288311,0.514769511
0.896247807,0.505236524
0.898781399,0.495656179
0.900222388,0.486724627
0.903464523,0.477277829
0.905722422,0.468141694
0.907894789,0.459688449
0.910067845,0.451003154
0.912062222,0.442230463
0.914236396,0.433168464
0.916412405,0.423488669
0.918589399,0.413477374
0.919718407,0.40286275
0.922281496,0.392531322
0.92426712,0.381540682
0.926449114,0.369845369
0.928728037,0.357646175
0.930453214,0.347131001
0.931044899,0.338513211
0.932435502,0.330376398
0.93389171,0.322058766
0.935349825,0.31309923
0.936921049,0.303131285
0.93839228,0.292844591
0.939854108,0.282634397
0.940239742,0.273286102
0.941698814,0.264004107
0.943447259,0.253687833
0.944813472,0.242390319
0.946329732,0.231066285
0.947846577,0.219545246
0.949018877,0.209273487
0.950567277,0.198603929
0.952032789,0.187152978
0.953540074,0.176202556
0.954857765,0.165529719
0.956321167,0.154789125
0.958662864,0.143258614
0.960103943,0.13200088
0.961564984,0.122055886
0.963146919,0.11157102
0.96460684,0.10200316
0.966210351,0.092287202
0.96907934,0.082242758
0.970242247,0.072264613
0.972313412,0.061736179
0.974493831,0.050571265
0.977618754,0.040246831
0.979670602,0.030661386
0.982021908,0.022208141
0.986218933,0.012508846
0.991926699,0.00557705
0.997462929,0.004605501
