confidence,recall
0.000973675,0.915870611
0.004802958,0.908148209
0.011141259,0.901041664
0.017897002,0.89187481
0.024055691,0.882451214
0.030716977,0.874468874
0.037727239,0.869169487
0.043868245,0.863337945
0.050639356,0.859568506
0.057461766,0.854592848
0.064629439,0.851187049
0.072702818,0.848090869
0.080897847,0.843052665
0.088473369,0.840035962
0.096359201,0.835821045
0.104242304,0.832525306
0.112125748,0.82911467
0.120008869,0.825812884
0.127891775,0.822583664
0.135772849,0.819971262
0.143652738,0.817757977
0.151531765,0.815834959
0.159410469,0.814020791
0.167288957,0.812279189
0.175167984,0.810356171
0.183047335,0.808324303
0.190926577,0.806328718
0.198806036,0.804260566
0.206685386,0.802228698
0.214564413,0.800305679
0.222442255,0.798781778
0.230319559,0.797439294
0.238196216,0.796314509
0.246072873,0.795189725
0.25394953,0.794064941
0.261826834,0.792722456
0.269703706,0.791525105
0.277581548,0.790001204
0.285459175,0.78854987
0.293336909,0.787062252
0.301214213,0.785719767
0.309091624,0.784340999
0.316970113,0.782599398
0.324848601,0.780857797
0.332727736,0.778898495
0.340608379,0.776431226
0.348489992,0.773637407
0.356372035,0.770698455
0.364253864,0.767832069
0.372135369,0.765074533
0.380017089,0.762244431
0.387897732,0.759777162
0.395776975,0.757781577
0.40365611,0.755822276
0.411534814,0.754008108
0.419412871,0.75241164
0.427291467,0.750633755
0.435170387,0.74874702
0.443048768,0.747041702
0.450927579,0.74519125
0.458806822,0.743195665
0.466686172,0.741163797
0.474565846,0.739023078
0.482445196,0.73699121
0.490324978,0.734814208
0.498205621,0.73234694
0.506085725,0.730061088
0.51396583,0.727775236
0.521845826,0.725525667
0.529725715,0.723312382
0.537605604,0.721099097
0.545485386,0.718922095
0.553366675,0.716237126
0.561249365,0.713080474
0.569132271,0.709851254
0.577015499,0.706513185
0.584899159,0.703029982
0.592783465,0.699329079
0.600667232,0.695809593
0.608549707,0.692725507
0.616431319,0.689931688
0.624313147,0.687065302
0.63219573,0.683944933
0.64007745,0.68111483
0.647959063,0.678321011
0.655840999,0.675418342
0.663724335,0.67204399
0.671608102,0.668524503
0.67949187,0.665005017
0.68737499,0.661703231
0.695258865,0.658147461
0.70314371,0.654265141
0.711028124,0.650527955
0.718912214,0.646899619
0.727130159,0.642090678
0.734329492,0.637293598
0.740696937,0.632204857
0.747977009,0.628166732
0.754573271,0.622626049
0.761310233,0.618540969
0.766886202,0.612366394
0.773468925,0.608332671
0.778409524,0.601672406
0.784955987,0.597561501
0.789175156,0.59080312
0.795724403,0.586758734
0.799737,0.579549921
0.806303852,0.572778436
0.81292267,0.563911504
0.819263198,0.555480483
0.82514083,0.546968433
0.830892579,0.538312583
0.836645292,0.52933245
0.842302589,0.520345666
0.847436103,0.510987323
0.852418293,0.501908507
0.856794597,0.492913024
0.861115106,0.48416571
0.863289176,0.475139014
0.867728378,0.466593476
0.871933091,0.456668212
0.875540219,0.447121001
0.879147835,0.437409154
0.882806949,0.42757187
0.885765044,0.418510964
0.888653744,0.409863429
0.891543333,0.400916556
0.894434008,0.391603826
0.897204762,0.382502749
0.899976181,0.373177925
0.902868633,0.363266519
0.904943862,0.352373951
0.908062408,0.341647682
0.910956539,0.331170861
0.91394575,0.320813775
0.916204331,0.311447829
0.918377374,0.302767035
0.920551108,0.293853422
0.922545697,0.285009352
0.924720032,0.275893157
0.926896433,0.266081531
0.92907207,0.256526911
0.931083922,0.24650433
0.933152887,0.235789574
0.933714143,0.227137387
0.93634473,0.217761766
0.938525811,0.206373628
0.940708314,0.194506549
0.943067011,0.183564091
0.944347387,0.17419996
0.945675264,0.165274252
0.947778494,0.155060486
0.950010491,0.143742668
0.951447618,0.13324209
0.953662552,0.122505843
0.955781825,0.111271649
0.957879825,0.100314937
0.96012315,0.089056512
0.962383559,0.078070817
0.964705918,0.06731344
0.968314753,0.057191296
0.97031196,0.047465195
0.972663228,0.039024894
0.976327057,0.030469463
0.978992273,0.021371642
0.982904982,0.012748668
0.988939217,0.005378308
0.99603094,0.003445916
