confidence,recall
0.000827092,0.873334492
0.004202758,0.866218928
0.010532576,0.859437338
0.017406384,0.850754048
0.024340721,0.841326777
0.031311365,0.835553332
0.037869011,0.831729494
0.045501452,0.829448183
0.05337439,0.826426659
0.061246033,0.823841981
0.069116705,0.821584939
0.07698662,0.819582724
0.084855888,0.817798933
0.092725048,0.816051545
0.100594208,0.814304158
0.108463692,0.812447559
0.116332528,0.810809383
0.12420104,0.809280419
0.132069336,0.807824263
0.139937417,0.806440914
0.147805173,0.805166777
0.155673145,0.803819833
0.163540686,0.802618504
0.171408766,0.801235156
0.179276738,0.799888211
0.187144279,0.798686882
0.195012251,0.797339938
0.202879684,0.796175013
0.210747872,0.79475526
0.21861606,0.793335508
0.226483493,0.792170583
0.234351465,0.790823638
0.242219006,0.789622309
0.250086762,0.788348173
0.257953763,0.787328863
0.265820872,0.78627315
0.273688088,0.785181033
0.281555305,0.784088916
0.28942263,0.782960395
0.29728963,0.781941085
0.305156847,0.780848968
0.313024495,0.779611235
0.320891496,0.778591926
0.328758713,0.777499809
0.336625498,0.776553307
0.344492498,0.775533998
0.352359283,0.774587496
0.360225744,0.773750206
0.368092205,0.772912917
0.375958558,0.772112031
0.383824803,0.771347549
0.391690508,0.770765086
0.399556105,0.770219027
0.407422242,0.769490949
0.415288919,0.768580852
0.423155596,0.767670754
0.431022381,0.766724252
0.438889166,0.765777751
0.446756598,0.764612826
0.454623491,0.76362992
0.462490168,0.762719823
0.470356845,0.761809725
0.478223522,0.760899628
0.486090846,0.759771106
0.493957955,0.758715393
0.501825711,0.757441256
0.509693144,0.756276331
0.517560576,0.755111406
0.525428441,0.753800866
0.533296629,0.752381113
0.541164817,0.750961361
0.549032898,0.749578013
0.556900762,0.748267472
0.564768842,0.746884124
0.572636167,0.745755603
0.580503492,0.744627081
0.588370384,0.743644176
0.596237385,0.742624867
0.604105141,0.74135073
0.611973438,0.739894574
0.619842166,0.738292802
0.627710678,0.736763838
0.635578866,0.735344085
0.643446407,0.734142756
0.651313839,0.732977831
0.659182351,0.731448867
0.667051403,0.729737884
0.674920887,0.727881285
0.68279199,0.725478627
0.690664713,0.72252991
0.698538947,0.719071539
0.706412641,0.715795188
0.714285903,0.712664452
0.722159058,0.70957012
0.7300334,0.706075345
0.737907742,0.70258057
0.745782192,0.699049391
0.753656965,0.695409
0.761532495,0.691513782
0.769793807,0.686101735
0.776956653,0.682692836
0.785281995,0.678560059
0.793157849,0.674555629
0.800913705,0.670836364
0.808612667,0.666213068
0.816671443,0.660793739
0.823977429,0.656095209
0.831354016,0.65169701
0.837899512,0.64587478
0.844768519,0.641630319
0.850903155,0.635490193
0.85755441,0.630924031
0.862489288,0.624216611
0.868761191,0.61982329
0.872136582,0.612800136
0.878189563,0.606075956
0.884062232,0.596886379
0.889714837,0.587219018
0.894640469,0.577028698
0.897017261,0.567650705
0.901457993,0.559177018
0.905173377,0.549497291
0.908702536,0.540073533
0.911544937,0.530429531
0.913820251,0.520390221
0.915517232,0.511098624
0.918757878,0.500856818
0.921014784,0.49115275
0.92318573,0.482309635
0.925358952,0.472699003
0.926449344,0.462601166
0.928764219,0.452290713
0.93099221,0.441431082
0.932950387,0.429000664
0.933918702,0.418884929
0.935373562,0.410439223
0.936829287,0.401702285
0.938399041,0.391601601
0.939031982,0.382153388
0.940541694,0.372430944
0.942002469,0.361990824
0.943464772,0.351035849
0.944830056,0.339504998
0.945473009,0.328181997
0.947182916,0.317534027
0.948641899,0.305689258
0.950109418,0.292975194
0.951486015,0.280786711
0.952954425,0.267772315
0.95418663,0.254050469
0.954906466,0.242344186
0.956687776,0.230290853
0.957449854,0.220228813
0.958701866,0.210055135
0.960305056,0.199806222
0.961475329,0.188060608
0.963095338,0.174976331
0.964699003,0.164567241
0.966018778,0.153459195
0.967474894,0.141146527
0.968375738,0.130105743
0.970732617,0.118832558
0.971966814,0.107309097
0.973715528,0.097350461
0.975597504,0.087049323
0.976783778,0.076452986
0.978571353,0.06707758
0.979788874,0.058307272
0.982021573,0.048730011
0.984109811,0.037642746
0.986609959,0.026736451
0.989388286,0.017064213
0.992030074,0.008618974
0.99556072,0.00332979
