recall,precision
0.004047796,0.998726024
0.012242274,0.998726024
0.020436753,0.998726024
0.028631232,0.998726024
0.036825711,0.998726024
0.04502019,0.998726024
0.053214668,0.998726024
0.061409147,0.998726024
0.069603626,0.998726024
0.077798105,0.998726024
0.085992583,0.998726024
0.094187062,0.998726024
0.102381541,0.998726024
0.11057602,0.998726024
0.118770499,0.998726024
0.126964977,0.998726024
0.135159456,0.998179966
0.143353935,0.997524695
0.151548414,0.997524695
0.159742892,0.997524695
0.167937371,0.997524695
0.17613185,0.997524695
0.184326329,0.997524695
0.192520808,0.997524695
0.200715286,0.997524695
0.208909765,0.997524695
0.217104244,0.997524695
0.225298723,0.997524695
0.233493201,0.997524695
0.24168768,0.997524695
0.249882159,0.997488292
0.258076638,0.997124252
0.266271117,0.997124252
0.274465595,0.997124252
0.282660074,0.997124252
0.290854553,0.997124252
0.299049032,0.997124252
0.307243511,0.997124252
0.315437989,0.997051445
0.323632468,0.996214155
0.331826947,0.995922924
0.340021426,0.995922924
0.348215904,0.995922924
0.356410383,0.995922924
0.364604862,0.995922924
0.372799341,0.995922924
0.38099382,0.995304057
0.389188298,0.995122038
0.397382777,0.995122038
0.405577256,0.994430363
0.413771735,0.994321152
0.421966213,0.994321152
0.430160692,0.994321152
0.438355171,0.994321152
0.44654965,0.994321152
0.454744129,0.994321152
0.462938607,0.994321152
0.471133086,0.994321152
0.479327565,0.994321152
0.487522044,0.994321152
0.495716522,0.993702285
0.503911001,0.993520266
0.51210548,0.993520266
0.520299959,0.993520266
0.528494438,0.993520266
0.536688916,0.993520266
0.544883395,0.993520266
0.553077874,0.993338246
0.561272353,0.99271938
0.569466831,0.99271938
0.57766131,0.992355341
0.586104107,0.991284459
0.59380195,0.989348985
0.602703179,0.987544425
0.610439225,0.985875445
0.618633704,0.985511406
0.627172007,0.983632405
0.635022662,0.98238067
0.643217141,0.982307863
0.651411619,0.981871016
0.659606098,0.981506977
0.668439108,0.97976219
0.675356525,0.977245119
0.684189534,0.976628853
0.692930312,0.972537054
0.70100978,0.967891916
0.708193563,0.963798499
0.714567047,0.958014323
0.72160271,0.954655051
0.728555601,0.951740716
0.735857319,0.948928081
0.743147213,0.946067774
0.751690519,0.942552775
0.759678066,0.938659579
0.764597857,0.931326467
0.771514536,0.927580657
0.777805247,0.922161329
0.784807801,0.918584038
0.788482901,0.91051936
0.793697569,0.9025053
0.799145035,0.895061351
0.805773643,0.886939208
0.81267195,0.879323354
0.81562046,0.86783838
0.819088037,0.858604356
0.823323762,0.850531323
0.825996586,0.841637969
0.830249911,0.832328623
0.833117978,0.822531118
0.836485785,0.81267021
0.837525615,0.802108527
0.840567504,0.794099668
0.844006702,0.784622518
0.8450993,0.77306101
0.846413922,0.760580236
0.848724736,0.747888549
0.852090393,0.737883636
0.85316962,0.727125581
0.854038731,0.717724273
0.855388958,0.706427685
0.856167167,0.694046132
0.858508447,0.684378295
0.858955418,0.673566334
0.860699484,0.660045495
0.861488257,0.64737069
0.862347818,0.636756385
0.863350639,0.62711495
0.863045885,0.617904762
0.864374948,0.606817497
0.867100233,0.595132905
0.869842369,0.58415314
0.872786705,0.573589073
0.873407499,0.563444518
0.874773245,0.553033001
0.874220175,0.54324035
0.874897404,0.533134066
0.876511468,0.523800664
0.879899229,0.515019522
0.880462638,0.501517191
0.881601978,0.490745918
0.883240874,0.480045596
0.883960994,0.468072351
0.884283807,0.458808771
0.885823376,0.45038612
0.887561599,0.441455029
0.889796457,0.430630934
0.889864179,0.419539877
0.891038044,0.408339609
0.891899852,0.395258472
0.894266172,0.381219412
0.895569839,0.36939653
0.897990935,0.359905078
0.900970746,0.349232558
0.903950556,0.338849406
0.906755084,0.328148941
0.909910177,0.317492447
0.912703749,0.307110963
0.915694515,0.296113504
0.918849609,0.28545701
0.921643181,0.275075526
0.924633947,0.264078067
0.92778904,0.253421573
0.930582612,0.243040089
0.933573378,0.232042629
0.936728471,0.221332743
0.939522044,0.21090454
0.942501854,0.200117608
0.945481665,0.189405759
0.94847243,0.178383271
0.951627524,0.167726777
0.954421096,0.157345293
0.957411862,0.146347834
0.960566955,0.13569134
0.963360527,0.125309856
0.966351293,0.114312397
0.969506386,0.103655903
0.972299959,0.093274419
0.975290724,0.082276959
0.978445818,0.071620465
0.98123939,0.061238981
0.984230156,0.050241522
0.987385249,0.039531635
0.990178822,0.029103433
0.993158632,0.018316501
0.995366884,0.007057617
