recall,precision
0.007147035,0.998726024
0.015351655,0.998726024
0.023556276,0.998726024
0.031760896,0.998726024
0.039964503,0.998398389
0.04816642,0.997524695
0.05637104,0.997524695
0.064575661,0.997524695
0.072780281,0.997524695
0.080984902,0.997524695
0.089189522,0.997524695
0.097394143,0.997524695
0.105598763,0.997524695
0.113803384,0.997524695
0.122008004,0.997524695
0.130212625,0.997524695
0.138417245,0.997524695
0.146621866,0.997524695
0.154826486,0.997524695
0.163031106,0.997524695
0.171235727,0.997524695
0.179440347,0.997524695
0.187644968,0.997524695
0.195849588,0.997524695
0.204054209,0.997524695
0.212257027,0.996942233
0.220460972,0.99672381
0.228665592,0.99672381
0.236870213,0.99672381
0.245074833,0.99672381
0.253279454,0.99672381
0.261482948,0.99635977
0.269687455,0.996323367
0.277892076,0.996323367
0.286096696,0.996323367
0.294301317,0.996323367
0.302505937,0.996323367
0.310710558,0.996323367
0.318915178,0.996323367
0.327119799,0.996323367
0.335324419,0.996323367
0.34352904,0.996323367
0.351731633,0.995668096
0.359934564,0.995122038
0.368139184,0.995122038
0.376343804,0.995122038
0.384548425,0.995122038
0.392753045,0.995122038
0.400957553,0.995085634
0.409160146,0.994430363
0.417364429,0.994321152
0.425569049,0.994321152
0.43377367,0.994321152
0.44197829,0.994321152
0.450182911,0.994321152
0.458387531,0.994321152
0.466592152,0.994321152
0.474796772,0.994321152
0.48300128,0.994284748
0.490496379,0.990967442
0.499398469,0.99038953
0.506893617,0.987088151
0.515796784,0.986858351
0.523999602,0.986275888
0.532201182,0.985292983
0.540404,0.98471052
0.549120611,0.983293568
0.556806032,0.98238067
0.565010427,0.982307863
0.573215048,0.982307863
0.581418992,0.982089439
0.589621698,0.981470573
0.59757285,0.979905205
0.605959913,0.978603765
0.614225647,0.978267029
0.622050275,0.975986584
0.630880832,0.972673676
0.638714318,0.969947523
0.647415464,0.968477179
0.655821642,0.964900371
0.663509326,0.961913874
0.671602236,0.960247096
0.679895764,0.95683969
0.687525826,0.953951495
0.69670771,0.952243837
0.703871384,0.949594753
0.712899062,0.94827021
0.720122168,0.944195114
0.725507452,0.939517671
0.732939382,0.936590624
0.739853786,0.929828758
0.74635189,0.925008114
0.749325035,0.916604413
0.755728274,0.909249268
0.763617171,0.903634168
0.768830261,0.895011296
0.775644094,0.887993006
0.782251976,0.878643189
0.78736844,0.868746948
0.789135604,0.858498178
0.7937471,0.85087676
0.799530372,0.843153931
0.805185064,0.832617276
0.806922719,0.821693829
0.809133483,0.813012897
0.811528793,0.803710299
0.813737713,0.79443337
0.814839661,0.7822866
0.819448073,0.77175495
0.821799271,0.760248889
0.823048756,0.750251163
0.82698682,0.741980475
0.829019233,0.731287328
0.831636714,0.722565992
0.83429257,0.713725044
0.836336474,0.701624038
0.83789592,0.690213321
0.839614213,0.680207014
0.840919225,0.672084695
0.843676359,0.661317491
0.846112325,0.650974677
0.848239221,0.641016042
0.845247404,0.635765449
0.8512112,0.631553193
0.852992771,0.620761255
0.854053822,0.608980604
0.855687075,0.5977594
0.856919181,0.588017155
0.858450353,0.578843371
0.859846587,0.56988801
0.860625492,0.560474566
0.86271446,0.55106159
0.864535696,0.54258144
0.866634408,0.533845109
0.867724413,0.52453481
0.869869195,0.514617172
0.872328216,0.505817135
0.873865213,0.493656208
0.874491387,0.481754153
0.875767655,0.472377113
0.878165794,0.463989047
0.880040533,0.452171429
0.879927713,0.440046478
0.882479374,0.43028183
0.883319785,0.420377167
0.884277997,0.410475305
0.884805396,0.400130528
0.885464484,0.390343944
0.886609888,0.380675674
0.888132302,0.370497748
0.889172907,0.361657666
0.89151216,0.352239456
0.893451718,0.341999557
0.893920574,0.332822739
0.895149335,0.319722282
0.895951595,0.306226652
0.895922024,0.296669413
0.896741779,0.28610916
0.897597496,0.275692876
0.900408936,0.266001202
0.902925812,0.254088977
0.90277928,0.242889922
0.905793517,0.232735833
0.907253664,0.222521937
0.908771215,0.212317642
0.910175213,0.202499789
0.910893266,0.193508024
0.911326844,0.182973643
0.916101525,0.173279587
0.921828582,0.163459199
0.926432404,0.153357549
0.930878742,0.14401388
0.935325803,0.134903802
0.939771934,0.125493392
0.944219201,0.116450055
0.948665435,0.107073016
0.953112599,0.097996309
0.95755873,0.088585899
0.962005893,0.079509192
0.966452025,0.070098782
0.970899292,0.061055445
0.975345526,0.051678405
0.97979238,0.042501587
0.984239027,0.033258029
0.988685571,0.0239811
0.993132425,0.014804282
0.996968793,0.005554656
