recall,precision
0.004052805,0.998726024
0.012257426,0.998726024
0.020462046,0.998726024
0.028666667,0.998726024
0.036871287,0.998107158
0.045075908,0.997124252
0.053280528,0.997124252
0.061485149,0.997124252
0.069689769,0.997124252
0.077894389,0.997124252
0.08609901,0.997124252
0.09430363,0.997124252
0.102508251,0.997124252
0.110712871,0.997124252
0.118917492,0.997124252
0.127122112,0.997124252
0.135326733,0.997124252
0.143531353,0.997124252
0.151735974,0.997124252
0.159940594,0.997124252
0.168145215,0.997124252
0.176349835,0.996978637
0.184554455,0.99672381
0.192759076,0.99672381
0.200963696,0.99672381
0.209168317,0.99672381
0.217372937,0.99672381
0.225577558,0.99672381
0.233782178,0.99672381
0.241986799,0.99672381
0.250191419,0.99672381
0.25839604,0.99672381
0.26660066,0.99672381
0.274805281,0.99672381
0.283009901,0.99654179
0.291214521,0.996323367
0.299419142,0.996323367
0.307623762,0.996323367
0.315828383,0.996323367
0.324192834,0.994464167
0.332237624,0.994248344
0.340131463,0.992619269
0.348646865,0.992209725
0.356851485,0.991627263
0.365056106,0.990717165
0.373260726,0.990644357
0.381465347,0.989588644
0.389669967,0.989078989
0.397874587,0.988023276
0.406079208,0.987914064
0.414283828,0.987914064
0.422488449,0.987914064
0.430693069,0.987914064
0.43889769,0.987914064
0.44710231,0.987113178
0.455306931,0.986312292
0.463511551,0.986239485
0.471716172,0.985584214
0.480560113,0.983709413
0.487814631,0.982908527
0.496330033,0.98238067
0.504534653,0.982307863
0.512739274,0.982235055
0.520633113,0.980238907
0.529148515,0.979905205
0.537166667,0.978236693
0.545557756,0.977429739
0.553495992,0.97501408
0.561860443,0.972239582
0.570171617,0.97109546
0.578314081,0.968959764
0.586580858,0.967564281
0.59459901,0.965455888
0.602990099,0.963814678
0.611457969,0.959388392
0.61894034,0.956617906
0.628243281,0.954448473
0.635325956,0.95076709
0.641915429,0.945742414
0.650462823,0.941745346
0.657668444,0.938628776
0.666339714,0.934308099
0.67326806,0.930450498
0.680347949,0.92590261
0.685707591,0.922401595
0.688889989,0.916835437
0.696634653,0.913291517
0.703396293,0.910197325
0.712385039,0.90713137
0.719524124,0.901132352
0.726855006,0.895278258
0.730821528,0.887957339
0.737014439,0.881271096
0.742701733,0.871885714
0.749049893,0.864342075
0.755049065,0.855180568
0.760602723,0.845856921
0.767239534,0.838106242
0.774384228,0.830076307
0.7811225,0.818927132
0.783663874,0.807098663
0.787807166,0.797331815
0.789229246,0.787014908
0.792541694,0.776960709
0.794360207,0.765954248
0.796221342,0.754829561
0.797663366,0.744481144
0.798222772,0.736535991
0.803674238,0.728756798
0.808012376,0.718215725
0.810572734,0.706957117
0.811772827,0.697526172
0.815657591,0.687356589
0.81780198,0.676624263
0.819045105,0.667092506
0.820555979,0.657209779
0.821469197,0.647671023
0.825203351,0.639128239
0.828990099,0.628761216
0.83540462,0.620707863
0.838396406,0.606514384
0.840124941,0.593363329
0.841669967,0.584085533
0.840178218,0.615902547
0.844067421,0.574571112
0.847786139,0.565393341
0.849725413,0.553780495
0.851825336,0.54305273
0.855675834,0.532009745
0.859890618,0.520797342
0.860661081,0.509692751
0.863087223,0.499259231
0.864951909,0.487531973
0.864957829,0.47819466
0.867722301,0.469941085
0.870883388,0.46119808
0.873245325,0.452054633
0.874239824,0.442477372
0.876048005,0.433628189
0.877471947,0.424123736
0.878857143,0.413821864
0.880455446,0.404708926
0.881520981,0.394171555
0.881947195,0.383536414
0.884242193,0.374589454
0.885987349,0.364958287
0.887367217,0.354012846
0.887218042,0.340931709
0.889447378,0.328139781
0.890610815,0.315200681
0.893881188,0.305850478
0.893948995,0.296531078
0.894751375,0.286905279
0.895717187,0.276819763
0.898090052,0.266830691
0.90123338,0.255990128
0.902831683,0.242022296
0.903311174,0.228931625
0.905815182,0.217739024
0.906086409,0.208506433
0.90879868,0.199184433
0.910290429,0.189503594
0.912528053,0.180730253
0.914019802,0.172466566
0.915325083,0.163468734
0.917863925,0.154561445
0.921577998,0.144981617
0.922970297,0.135370986
0.925546955,0.127252915
0.925854345,0.1163099
0.927445545,0.105920226
0.929636551,0.096002436
0.93239544,0.087390637
0.937461575,0.080281474
0.940520287,0.069816116
0.946092409,0.061595258
0.952575781,0.056237294
0.95626827,0.04901832
0.963247525,0.042067774
0.970706271,0.033338117
0.978165017,0.024548394
0.985623762,0.015798715
0.993260097,0.006771587
0.99830363,0.004426135
