recall,precision
0.004052805,0.998726024
0.012257426,0.998726024
0.020462046,0.998726024
0.028666667,0.998726024
0.036871287,0.998726024
0.045075908,0.998726024
0.053280528,0.998726024
0.061485149,0.998726024
0.069689769,0.998726024
0.077894389,0.998726024
0.08609901,0.998726024
0.09430363,0.998726024
0.102508251,0.998726024
0.110712871,0.998726024
0.118917492,0.998726024
0.127122112,0.998726024
0.135326733,0.998726024
0.143531353,0.998726024
0.151735974,0.998726024
0.159940594,0.998726024
0.168145215,0.998726024
0.176349835,0.998726024
0.184554455,0.998726024
0.192759076,0.998726024
0.200963696,0.998726024
0.209168317,0.998726024
0.217372937,0.998726024
0.225577558,0.998726024
0.233782178,0.998471197
0.241986799,0.997524695
0.250191419,0.997451888
0.25839604,0.997124252
0.26660066,0.997124252
0.274805281,0.997124252
0.283009901,0.997124252
0.291214521,0.996796617
0.299419142,0.996323367
0.307623762,0.996323367
0.315828383,0.996323367
0.324033003,0.996323367
0.332237624,0.996250559
0.340442244,0.995376865
0.348646865,0.995122038
0.356851485,0.995122038
0.365056106,0.995122038
0.373260726,0.995122038
0.381465347,0.995122038
0.389669967,0.995122038
0.397874587,0.995122038
0.406079208,0.995122038
0.414283828,0.994430363
0.422488449,0.994321152
0.430693069,0.994321152
0.43889769,0.994321152
0.44710231,0.994102728
0.455306931,0.993520266
0.463511551,0.992792188
0.471716172,0.992027706
0.479982948,0.990950757
0.488125413,0.990316722
0.496330033,0.990316722
0.504534653,0.990316722
0.512739274,0.990316722
0.520943894,0.990316722
0.529148515,0.989843471
0.537353135,0.989479432
0.545557756,0.988824162
0.553762376,0.988642142
0.561966997,0.987950468
0.570171617,0.987914064
0.578376238,0.987914064
0.586580858,0.987914064
0.594661166,0.986245552
0.602990099,0.985511406
0.611194719,0.984856136
0.61939934,0.984492097
0.62727764,0.980530897
0.635808581,0.979686781
0.643864026,0.975039823
0.652217822,0.974189792
0.660655528,0.97087021
0.668527613,0.968025397
0.676889058,0.965797291
0.68492975,0.962628951
0.692930143,0.961351347
0.701756326,0.96041698
0.70960629,0.95653818
0.71807416,0.953028415
0.7255,0.949471539
0.732158028,0.942522676
0.738739274,0.93296439
0.745787789,0.925184673
0.752960616,0.919198051
0.756764576,0.912697527
0.762151448,0.903709807
0.767771008,0.895134509
0.772250354,0.885944123
0.775574004,0.877330198
0.781766914,0.869583167
0.785115123,0.857746544
0.790437706,0.849310742
0.796785867,0.840998606
0.802724658,0.831998734
0.805179487,0.821791839
0.807839227,0.811747761
0.810156766,0.803109635
0.813287476,0.792287136
0.816310231,0.780564695
0.819408479,0.769672647
0.819790979,0.759394611
0.821531353,0.750651606
0.824170602,0.741333606
0.825172976,0.729416351
0.830026036,0.717993257
0.83126916,0.703221361
0.832719472,0.691950307
0.834424328,0.681889828
0.837008251,0.672398376
0.839157547,0.660056653
0.840178218,0.646042554
0.842483648,0.636143119
0.843907591,0.627697413
0.84608784,0.617843155
0.847522214,0.607000392
0.848802393,0.594904319
0.851454087,0.581935561
0.851845827,0.568821895
0.852982398,0.557771576
0.85509571,0.549246995
0.857759547,0.539618162
0.858974257,0.530127663
0.860068207,0.521331266
0.861808581,0.512042203
0.86349923,0.500895327
0.864046205,0.49067311
0.866470297,0.481820893
0.867775578,0.471815886
0.869267327,0.46253289
0.870188701,0.450496046
0.871551568,0.437279956
0.873902405,0.426178389
0.874985699,0.416081506
0.876586221,0.404543743
0.878683993,0.392079956
0.880402169,0.379641196
0.882107025,0.368714824
0.884234543,0.357883795
0.884930693,0.346738132
0.887061763,0.337165638
0.890276128,0.328050794
0.890840315,0.317818962
0.892936414,0.306119867
0.89434736,0.293596013
0.896438472,0.281847303
0.897548405,0.272355851
0.901886909,0.263165685
0.90501603,0.253272837
0.90879868,0.243704157
0.912528053,0.233666386
0.916257426,0.223682008
0.919986799,0.213644238
0.923716172,0.20365986
0.927445545,0.193622089
0.931174917,0.183637711
0.93490429,0.173599941
0.938633663,0.163615563
0.942363036,0.153577793
0.946092409,0.143593415
0.949821782,0.133555644
0.953551155,0.123571266
0.957280528,0.113533496
0.961009901,0.103549118
0.964739274,0.093511347
0.968468647,0.083526969
0.97219802,0.073489199
0.975927393,0.063504821
0.979656766,0.05368062
0.983386139,0.043803027
0.987115512,0.033818649
0.990844884,0.023834271
0.994574257,0.013849893
0.997060506,0.004871072
