recall,precision
0.004052805,0.998726024
0.012257426,0.998726024
0.020462046,0.998726024
0.028666667,0.998726024
0.036871287,0.998726024
0.045075908,0.998726024
0.053280528,0.998726024
0.061485149,0.998726024
0.069689769,0.998726024
0.077894389,0.998726024
0.08609901,0.998726024
0.09430363,0.998726024
0.102508251,0.998726024
0.110712871,0.998726024
0.118917492,0.998726024
0.127122112,0.998726024
0.135326733,0.998726024
0.143531353,0.998726024
0.151735974,0.998726024
0.159940594,0.998726024
0.168145215,0.998726024
0.176349835,0.998726024
0.184554455,0.998726024
0.192759076,0.998726024
0.200963696,0.99868962
0.209168317,0.997597503
0.217372937,0.997524695
0.225577558,0.997524695
0.233782178,0.997015041
0.241986799,0.99672381
0.250191419,0.99635977
0.25839604,0.996323367
0.26660066,0.996323367
0.274805281,0.996323367
0.283009901,0.996323367
0.291214521,0.996323367
0.299419142,0.996323367
0.307623762,0.996323367
0.315828383,0.996323367
0.324033003,0.996323367
0.332237624,0.996250559
0.340442244,0.995922924
0.348646865,0.995922924
0.356851485,0.995922924
0.365056106,0.995922924
0.373260726,0.99588652
0.381465347,0.994466767
0.389669967,0.993520266
0.397874587,0.993010611
0.406079208,0.99271938
0.414923149,0.991489448
0.422177668,0.990950757
0.430693069,0.99038953
0.43889769,0.990316722
0.44710231,0.990316722
0.455306931,0.989697856
0.463671381,0.98797127
0.471716172,0.987295198
0.479920792,0.986821947
0.488125413,0.985584214
0.496330033,0.985511406
0.504374823,0.983766619
0.512739274,0.983327172
0.520943894,0.98256269
0.529148515,0.981798208
0.537353135,0.981506977
0.545557756,0.980851706
0.553762376,0.979759589
0.562483371,0.977687367
0.569591492,0.973520364
0.577319582,0.970961979
0.584687484,0.969801721
0.592547855,0.968292359
0.600752475,0.967127434
0.608957096,0.96709103
0.617161716,0.96643576
0.625194212,0.963887486
0.633570957,0.963050196
0.641195453,0.958192297
0.647145875,0.954517121
0.654968234,0.952424806
0.662908691,0.950085552
0.672107811,0.948376995
0.679856619,0.944755211
0.688019802,0.943392087
0.696522772,0.94034144
0.702704208,0.934204651
0.711800039,0.930697831
0.718647277,0.926295903
0.72639505,0.920799823
0.733567877,0.916234773
0.737943674,0.908973407
0.744752888,0.904922259
0.749678768,0.89877546
0.756245389,0.89145442
0.762094472,0.881946844
0.768341172,0.874013068
0.773528996,0.864034172
0.775287129,0.854023098
0.780461634,0.844630565
0.782745875,0.83487811
0.787127888,0.825934884
0.790261995,0.816493671
0.794132893,0.806913843
0.796078383,0.794124695
0.798968647,0.783387818
0.801579208,0.774411222
0.803417256,0.765181965
0.806097487,0.75470224
0.806958111,0.744383133
0.80959736,0.73596263
0.812705171,0.726725138
0.813113626,0.716385129
0.815875138,0.706335917
0.817855257,0.696534599
0.820154354,0.686842559
0.823535891,0.676394463
0.826056326,0.664276058
0.826752475,0.653689802
0.828031117,0.643275684
0.832035754,0.635090439
0.83679692,0.626047102
0.837244444,0.614113902
0.841083923,0.604890365
0.842128967,0.594463447
0.845119637,0.58396722
0.84589659,0.572387745
0.847537514,0.561415607
0.848325463,0.549952671
0.849066557,0.539651532
0.851845827,0.529893118
0.854250385,0.518835172
0.857280057,0.508097579
0.861709131,0.497424821
0.861469547,0.486486661
0.864294829,0.476708571
0.866283828,0.467483822
0.867924752,0.457113562
0.868636202,0.445560269
0.869335134,0.435484788
0.870759076,0.426565831
0.87150495,0.417683278
0.8729967,0.409201168
0.873810381,0.400136595
0.874364136,0.390753488
0.876477448,0.381810262
0.878086197,0.370878562
0.879709571,0.358646543
0.88062757,0.347420939
0.881540354,0.337194241
0.882021782,0.328184275
0.882218422,0.318919481
0.882842244,0.309843987
0.883324194,0.300261078
0.884842943,0.287185981
0.885956271,0.273073311
0.887541254,0.259007752
0.888660066,0.248113883
0.891736799,0.238034551
0.892575908,0.22637165
0.893135314,0.216442485
0.893508251,0.205477108
0.895372937,0.195473835
0.895905705,0.185254738
0.897397454,0.173956526
0.899760435,0.161682444
0.903420532,0.148775287
0.907077431,0.138266496
0.913142302,0.130683447
0.919240924,0.121330454
0.925207921,0.112345515
0.931174917,0.103285493
0.937141914,0.094250498
0.943108911,0.085290587
0.949075908,0.076305648
0.955042904,0.067320709
0.961009901,0.058310742
0.966976898,0.04925072
0.972943894,0.040265781
0.978910891,0.031280842
0.984877888,0.02232093
0.990844884,0.013361019
0.99633239,0.004855181
