confidence,precision
0.00421036,0.199751086
0.003287411,0.186989845
0.003108472,0.17845872
0.001641172,0.169548433
0.006177965,0.212333775
0.007334186,0.222833622
0.008600524,0.233486976
0.010087094,0.244447343
0.011573665,0.255499813
0.012796742,0.26689877
0.014720673,0.279448449
0.01619488,0.291704842
0.017807035,0.302334658
0.018944576,0.313684547
0.020376089,0.325558278
0.021807601,0.337307285
0.023194378,0.349230905
0.024536421,0.36185298
0.026102138,0.373651876
0.02745611,0.385949669
0.029192277,0.396603023
0.03062379,0.405659908
0.031500132,0.415617366
0.033229876,0.424730537
0.035559592,0.434829762
0.037285827,0.446786503
0.039653328,0.457053897
0.041965771,0.466479199
0.044729691,0.476256542
0.046846284,0.486356102
0.049453682,0.496965597
0.052591997,0.506820717
0.055455022,0.515908304
0.058997097,0.525294717
0.062739905,0.535069757
0.066587094,0.544498896
0.069801606,0.553407758
0.07378939,0.56392259
0.078083927,0.573069021
0.082433522,0.582008219
0.087388757,0.590981772
0.09239905,0.599904888
0.097504777,0.608630346
0.103135392,0.61713819
0.108987751,0.626265056
0.115303246,0.635375619
0.121618742,0.644366186
0.12759741,0.65324067
0.134063591,0.661907564
0.140919782,0.670436064
0.147834363,0.679460309
0.15538559,0.687682119
0.163258907,0.696244993
0.171132225,0.703519807
0.179005542,0.71023223
0.18687886,0.716781377
0.194752177,0.723003974
0.202625495,0.729045154
0.210498812,0.735249609
0.21837213,0.741490347
0.226245447,0.747731086
0.234118765,0.753917399
0.241992082,0.760121854
0.2498654,0.766126751
0.257738717,0.772167931
0.265612035,0.777991411
0.273485352,0.783706041
0.28135867,0.789372929
0.289105677,0.794575042
0.296936892,0.799411401
0.304933888,0.804473731
0.312553708,0.80987844
0.32103201,0.813974141
0.32903904,0.818500391
0.336471892,0.822134658
0.34434521,0.826363537
0.351979942,0.831563797
0.360091845,0.835790809
0.367965162,0.839491712
0.37583848,0.843047481
0.383711797,0.846458118
0.391585115,0.84961477
0.399458432,0.852662573
0.40733175,0.855565242
0.415205067,0.858504194
0.423078385,0.861406863
0.430951702,0.864091832
0.43882502,0.866631668
0.446698337,0.868881236
0.454571655,0.871348505
0.462444972,0.874106041
0.47031829,0.87689986
0.478191607,0.879802529
0.486064925,0.882959181
0.493938242,0.886188401
0.50181156,0.889381337
0.509684877,0.892247722
0.517558195,0.894823841
0.525431512,0.897327393
0.53330483,0.899649528
0.541178147,0.901645113
0.549051465,0.903640698
0.556924782,0.9053823
0.5647981,0.907123901
0.572671417,0.908720369
0.580544735,0.910316837
0.588418052,0.911913305
0.59629137,0.913654907
0.604164687,0.915396508
0.612038005,0.917283243
0.619911322,0.919351395
0.62778464,0.921637247
0.635657957,0.923886815
0.643531275,0.926172667
0.651404592,0.928349669
0.65927791,0.930526671
0.667151227,0.932558539
0.675024545,0.93419129
0.682897862,0.935860325
0.69077118,0.937601927
0.698644497,0.939343528
0.706517815,0.941230263
0.714391132,0.943116998
0.72226445,0.945221433
0.730137767,0.947543568
0.738011085,0.949901987
0.745884402,0.952115272
0.75375772,0.954509974
0.761631037,0.956868393
0.769504355,0.959154244
0.777377672,0.961294963
0.78525099,0.963435681
0.793124307,0.965648966
0.800997625,0.967934818
0.808870942,0.97022067
0.81674426,0.972506522
0.824617577,0.974610957
0.832490895,0.976679109
0.840364212,0.978602127
0.84823753,0.980416295
0.856110847,0.981831347
0.863984165,0.983210114
0.871857482,0.984298615
0.8797308,0.985568533
0.887604117,0.987092434
0.895477435,0.988797752
0.903350752,0.990430504
0.91122407,0.992135822
0.919097387,0.993696006
0.926970705,0.994965924
0.934844022,0.995401325
0.94271734,0.995691591
0.950590657,0.996018142
0.958463975,0.996199558
0.966337292,0.996562392
0.97421061,0.996997792
0.982083927,0.997360626
0.989957245,0.997759743
0.99639905,0.997796026
