confidence,precision
0.005379445,0.309883486
0.004167007,0.297572627
0.003427057,0.289423988
0.003044728,0.281188874
0.002665579,0.274024724
0.007037083,0.32405404
0.007885599,0.335388962
0.009726725,0.348692862
0.011382339,0.362229581
0.012962607,0.374220699
0.014473995,0.385996998
0.015793206,0.396387344
0.017109203,0.407703974
0.018579006,0.420600442
0.020048958,0.433546799
0.02142781,0.445944371
0.022609045,0.458077528
0.024485706,0.471399166
0.025631608,0.484259603
0.027147934,0.497519156
0.028971129,0.51242886
0.03052444,0.524171302
0.031947885,0.53381663
0.033662391,0.542592087
0.035345187,0.553050268
0.037700301,0.562785872
0.03998367,0.572464459
0.042860204,0.58304106
0.045607392,0.594249595
0.048496684,0.603096689
0.051385483,0.611777483
0.054430075,0.6203892
0.057711748,0.629112465
0.061318624,0.637570419
0.065112398,0.646700221
0.069294891,0.657177042
0.073670989,0.666103447
0.078748501,0.675143959
0.0844065,0.684366887
0.090158767,0.693197351
0.096037092,0.701942709
0.102377709,0.710403728
0.10899642,0.719234484
0.11602956,0.728080177
0.123212955,0.736780927
0.130567755,0.745814275
0.138296115,0.754389243
0.146193456,0.762480433
0.154088804,0.769900381
0.161982052,0.776612804
0.169586546,0.782499779
0.177763497,0.788336865
0.185515941,0.792826932
0.193358448,0.797516556
0.201382482,0.802191508
0.209186092,0.807074821
0.217160648,0.812023351
0.22532772,0.817211871
0.232595779,0.822285092
0.241196849,0.827561623
0.248752993,0.831999358
0.256637299,0.835700261
0.264521174,0.839256031
0.272404834,0.842739233
0.280288386,0.846186153
0.288172476,0.849814489
0.296056459,0.853406542
0.303940657,0.857071162
0.311823778,0.860372948
0.319705714,0.863275617
0.327587758,0.86621457
0.335469693,0.869117239
0.343350983,0.871802208
0.351232272,0.874487176
0.359113777,0.877244712
0.366995821,0.880183664
0.374878188,0.883231467
0.382760231,0.886170419
0.390642275,0.889109372
0.398523888,0.891903191
0.406405069,0.894551876
0.41428582,0.897055428
0.422165494,0.899196147
0.430045167,0.901336865
0.437924302,0.903296167
0.445803222,0.905182902
0.453682357,0.907142203
0.461561491,0.909101505
0.469440626,0.911060807
0.477319438,0.912911258
0.485197711,0.914580293
0.493076415,0.916394461
0.500955011,0.918172346
0.5088335,0.919913947
0.516711342,0.921437849
0.524588969,0.922889183
0.532466595,0.924340518
0.540344222,0.925791852
0.548221957,0.92727947
0.556098829,0.928476821
0.563975486,0.929601605
0.571851928,0.930653823
0.579729016,0.931923741
0.587605889,0.933121092
0.595483192,0.934463576
0.603360926,0.935951194
0.611238122,0.937257395
0.619115426,0.93859988
0.626993052,0.940051214
0.63487014,0.941321132
0.642746474,0.942337066
0.65062227,0.943171583
0.658498604,0.944187518
0.666375476,0.945384869
0.674251918,0.946437086
0.682128036,0.947380454
0.690004586,0.948468954
0.697881135,0.949557455
0.705757254,0.950500823
0.713633264,0.951407907
0.721509814,0.952496408
0.729387979,0.954129159
0.737266683,0.955943327
0.745144956,0.957612362
0.753023552,0.959390247
0.760901718,0.961022998
0.768780098,0.962728316
0.776657186,0.963998234
0.784532766,0.964760185
0.792408346,0.965522135
0.800284034,0.966320369
0.808159829,0.967154887
0.816036378,0.968243388
0.823914651,0.969912422
0.831793463,0.971762874
0.839672813,0.973794742
0.847551948,0.975754044
0.855431083,0.977713345
0.86331011,0.979636364
0.871188383,0.981305398
0.879066226,0.9828293
0.886944283,0.984425768
0.894822987,0.986239936
0.902702338,0.988271804
0.910581257,0.990158539
0.918459853,0.991936424
0.92633845,0.993714309
0.934215753,0.995056793
0.942091225,0.99578246
0.949966374,0.996399278
0.957840877,0.996798395
0.965715379,0.997197512
0.973589666,0.997524062
0.981462984,0.997524062
0.989336301,0.997524062
0.997209619,0.997524062
