confidence,precision
0.00248857,0.565331573
0.001850934,0.55266828
0.00122018,0.543424171
0.000271689,0.536093289
8.24631E-05,0.527580374
0.004147362,0.580458433
0.005460885,0.59429637
0.007568618,0.60676905
0.008809116,0.618949301
0.010203707,0.630826466
0.011598298,0.64270363
0.012992721,0.654637624
0.014101393,0.666235017
0.015681206,0.677908911
0.017329105,0.690466124
0.018569316,0.702742983
0.020164824,0.714599311
0.021510328,0.726957624
0.022760668,0.739262897
0.024345025,0.75143557
0.026459585,0.762753921
0.028630668,0.773732758
0.03273897,0.782659538
0.034900068,0.79220402
0.039977109,0.799834543
0.045854225,0.808210439
0.05287275,0.815879135
0.060545938,0.822816522
0.068105872,0.828913707
0.07593898,0.835305024
0.084087859,0.839680821
0.091940129,0.843628683
0.099794777,0.846774917
0.107650604,0.849523352
0.11550686,0.852127133
0.123363223,0.854694749
0.13121905,0.857443184
0.139074877,0.860191619
0.146930597,0.862976218
0.154786746,0.865616162
0.162643217,0.868147615
0.170499794,0.870642904
0.178357445,0.872776558
0.186215631,0.874729393
0.194073925,0.876646065
0.201931897,0.878671227
0.209790834,0.880370917
0.217649664,0.882106771
0.225508923,0.88369797
0.233368182,0.885289169
0.241226905,0.887061186
0.249086486,0.888543894
0.256946388,0.889918112
0.264806184,0.891328493
0.272666193,0.892666547
0.280526739,0.893823782
0.28838825,0.894655546
0.296249869,0.895451145
0.304111273,0.896319072
0.311972141,0.897367817
0.319833223,0.898344234
0.327694519,0.899248325
0.335555602,0.900224742
0.34341604,0.901418142
0.351276908,0.902466887
0.359137883,0.903479468
0.366998214,0.904709031
0.374859189,0.905721612
0.382719306,0.907023502
0.390580067,0.908108411
0.398440077,0.909446465
0.406300944,0.91049521
0.414161168,0.911760936
0.422022036,0.912809681
0.429883226,0.913749935
0.437743986,0.914834843
0.445604961,0.915847425
0.45346615,0.916787679
0.461327447,0.917691769
0.469188744,0.91859586
0.47705004,0.91949995
0.484911123,0.920476368
0.492772527,0.921344294
0.500634252,0.92210373
0.508496085,0.922827003
0.516357596,0.923658766
0.524219108,0.924490529
0.532080404,0.925394619
0.539941379,0.926407201
0.547802461,0.927383618
0.555663115,0.92850469
0.563524304,0.929444944
0.571385493,0.930385199
0.579246683,0.931325453
0.587108516,0.932048725
0.594970349,0.932771997
0.602831753,0.933639924
0.61069262,0.934688669
0.618553274,0.935809741
0.626414249,0.936822322
0.634274795,0.937979558
0.642135769,0.938992139
0.649996959,0.939932393
0.657858363,0.94080032
0.665719767,0.941668247
0.6735816,0.942391519
0.68144354,0.943078628
0.689305587,0.943729573
0.697167313,0.944489009
0.705028824,0.945320772
0.712890443,0.946116372
0.720752168,0.946875808
0.728613679,0.947707571
0.736474976,0.948611661
0.744336166,0.949551915
0.752197569,0.950419842
0.760058223,0.951540914
0.76791834,0.952842804
0.775777599,0.954434003
0.783636429,0.956169857
0.791493972,0.958339674
0.799351086,0.960654145
0.807207771,0.963113271
0.815065207,0.965319252
0.822923286,0.967308251
0.83078158,0.969224922
0.838640302,0.97099694
0.846499883,0.972479648
0.854360107,0.973745375
0.862220224,0.975047265
0.87008002,0.976457646
0.877940673,0.977578718
0.885801112,0.978772117
0.893661979,0.979820862
0.901521238,0.981412061
0.909380068,0.983147915
0.917238898,0.984883768
0.925097299,0.986764276
0.932955379,0.988753275
0.940813351,0.990778438
0.948671323,0.9928036
0.95653026,0.99450329
0.964391986,0.995262726
0.972254247,0.995841344
0.980116402,0.996456126
0.987979093,0.996890089
0.993340145,0.997143234
