confidence,precision
0.004397925,0.448226338
0.003283511,0.43629527
0.002568604,0.427825449
0.002211151,0.419219714
0.001853697,0.411184158
0.005642705,0.461280411
0.0072155,0.474810023
0.008645314,0.487391231
0.010170449,0.49901835
0.01221985,0.511926953
0.01349647,0.524613924
0.015258205,0.536267327
0.016604613,0.548159883
0.01810732,0.560546276
0.019464241,0.573062149
0.020888098,0.585370737
0.022133228,0.598097015
0.023703045,0.610805061
0.025040517,0.623317521
0.026644151,0.635987834
0.028260577,0.64849659
0.030283169,0.660127261
0.032713853,0.670231375
0.035096876,0.680831209
0.038160764,0.690837404
0.041837429,0.700498256
0.045057915,0.709507473
0.048271592,0.717489989
0.052309639,0.727404384
0.057258996,0.736413893
0.062358666,0.745203374
0.068108762,0.753666369
0.074416766,0.761888864
0.081172637,0.77045703
0.088714907,0.77810021
0.096578885,0.785983878
0.104442863,0.793035784
0.112306841,0.799292089
0.120170819,0.805114431
0.128273099,0.811061337
0.135675366,0.81599516
0.143762752,0.821894349
0.15162673,0.825763856
0.159490708,0.829488709
0.167354686,0.832671107
0.175218664,0.835383378
0.183082641,0.837806341
0.190946619,0.839831503
0.198810597,0.841784338
0.206674575,0.843809501
0.214538553,0.8457985
0.222402531,0.847606681
0.230266509,0.849487189
0.238130486,0.851114551
0.245994464,0.852814241
0.253858442,0.854694749
0.26172242,0.856719912
0.269586398,0.859070547
0.277450376,0.861529673
0.285314353,0.864133453
0.293178331,0.866664906
0.301042309,0.869160196
0.308906287,0.871510831
0.316770265,0.873535994
0.324634243,0.875524992
0.332498221,0.877441664
0.340362198,0.879394499
0.348226176,0.881491989
0.356090154,0.883444824
0.363954132,0.885289169
0.37181811,0.887025023
0.379682088,0.888616222
0.387546066,0.890171257
0.395410043,0.89140082
0.403274021,0.892738874
0.411137999,0.893859946
0.419001977,0.895198
0.426865955,0.896391399
0.434729933,0.897693289
0.442593911,0.899175998
0.450457888,0.900731033
0.458321866,0.902430723
0.466185844,0.904130413
0.474049822,0.905974757
0.4819138,0.907927593
0.489777778,0.909988919
0.497641756,0.911941754
0.505505733,0.913894589
0.513369711,0.915666607
0.521233689,0.917330133
0.529097667,0.918921332
0.536961645,0.920223222
0.544825623,0.921633603
0.552689601,0.922971657
0.560553578,0.924092729
0.568417556,0.925358456
0.576281534,0.926407201
0.584145512,0.927745255
0.59200949,0.92890249
0.599873468,0.930240544
0.607737446,0.931433943
0.615601423,0.932880488
0.623465401,0.934833323
0.631329379,0.936822322
0.639193357,0.938738994
0.647057335,0.940655666
0.654921313,0.942644664
0.662785291,0.944778318
0.670649268,0.946550335
0.678513246,0.948177698
0.686377224,0.949841224
0.694241202,0.951468587
0.70210518,0.953059786
0.709969158,0.954578658
0.717833136,0.95609753
0.725697113,0.957290929
0.733561091,0.958267347
0.741425069,0.959171437
0.749289047,0.959930873
0.757153025,0.960690309
0.765017003,0.961449745
0.772880981,0.962317672
0.780744958,0.963474907
0.788608936,0.96470447
0.796472914,0.966114851
0.804336892,0.96759756
0.81220087,0.969044104
0.820064848,0.970418322
0.827928826,0.972009521
0.835792803,0.97360072
0.843656781,0.97530041
0.851520759,0.977144754
0.859384737,0.978989099
0.867248715,0.980761116
0.875112693,0.982424642
0.882976671,0.98379886
0.890840648,0.985136914
0.898704626,0.986077168
0.906568604,0.987125913
0.914432582,0.988391639
0.92229656,0.989621202
0.930160538,0.990923092
0.938024516,0.99269511
0.945888493,0.994286309
0.953752471,0.995262726
0.961616449,0.995913671
0.969480427,0.996456126
0.977344405,0.996926253
0.985208383,0.997143234
0.993072361,0.997143234
0.997361803,0.997143234
