confidence,precision
0.004436388,0.361519507
0.003287411,0.349380574
0.002929533,0.341077515
0.002725031,0.331783791
0.001641172,0.323447947
0.005843683,0.374574834
0.007181966,0.3869592
0.008826,0.401648271
0.010339714,0.415953876
0.01181333,0.429077782
0.013707978,0.442624283
0.015007918,0.456343929
0.01643943,0.46961457
0.017870942,0.48288521
0.019302454,0.496180795
0.020733967,0.509551214
0.022165479,0.522921634
0.023728564,0.536322867
0.025073238,0.549587638
0.026465279,0.563204571
0.02810029,0.577126711
0.029742859,0.589038818
0.032019907,0.598433857
0.032991291,0.608548104
0.035523966,0.61725332
0.037899333,0.626047051
0.039612035,0.635031935
0.042571411,0.644209068
0.045619274,0.653129991
0.049408947,0.661988962
0.052623459,0.670805172
0.056666301,0.680866429
0.061621536,0.689706213
0.066727263,0.698511494
0.072484188,0.707097987
0.078799683,0.715509443
0.085392174,0.724148809
0.09239905,0.732562826
0.099727029,0.741296836
0.107429929,0.749309412
0.115303246,0.757328035
0.123176564,0.764512141
0.131049881,0.771551114
0.138923199,0.778027694
0.146796516,0.784141441
0.154499416,0.789742037
0.162435788,0.79524415
0.170680168,0.800800279
0.177971672,0.805599019
0.186163104,0.811480955
0.194036421,0.815145575
0.201909739,0.818592494
0.209783056,0.821966847
0.217656374,0.825486334
0.225529691,0.829150953
0.233403009,0.832105456
0.241276326,0.837133293
0.248996267,0.840372879
0.257022961,0.845333333
0.264896279,0.84907052
0.272769596,0.852590006
0.280642914,0.855891792
0.288516231,0.858794461
0.296389549,0.861551997
0.304262866,0.864490949
0.312136184,0.867429902
0.320009501,0.870151154
0.327882819,0.872799839
0.335756136,0.875521092
0.343629454,0.878133494
0.351502771,0.880528196
0.359376089,0.882632631
0.367249406,0.884918483
0.375122724,0.887168051
0.382996041,0.889054786
0.390869359,0.890905238
0.398742676,0.892937106
0.406615994,0.895005258
0.414489311,0.89696456
0.422362629,0.898960144
0.430235946,0.900883163
0.438109264,0.902661048
0.445982581,0.904184949
0.453855899,0.90549115
0.461729216,0.906652218
0.469602534,0.907777002
0.477475851,0.909192053
0.485349169,0.910534537
0.493222486,0.912167289
0.501095804,0.91380004
0.508969121,0.915541642
0.516842439,0.91735581
0.524715756,0.918988561
0.532589074,0.920730163
0.540462391,0.922834598
0.548335709,0.925047883
0.556209026,0.927333735
0.564082344,0.92954702
0.571955661,0.931615172
0.579828979,0.933574473
0.587702296,0.935352358
0.595575614,0.936948826
0.603448931,0.93818246
0.611322249,0.939524945
0.619195566,0.940577162
0.627068884,0.941919647
0.634942201,0.943334698
0.642815519,0.944495766
0.650688836,0.94583825
0.658562154,0.946854184
0.666435471,0.948087819
0.674308789,0.949103753
0.682182106,0.94993827
0.690055424,0.950700221
0.697928741,0.951462171
0.705802059,0.952260405
0.713675376,0.953094923
0.721548694,0.954002007
0.729422011,0.955017941
0.737295329,0.956070159
0.745168646,0.957013526
0.753041964,0.95802946
0.760915281,0.959190528
0.768788599,0.960279029
0.776661916,0.961548946
0.784535234,0.962710014
0.792408551,0.964125065
0.800281869,0.96568525
0.808155186,0.967390568
0.816028504,0.969313586
0.823901821,0.971127754
0.831775139,0.973050773
0.839648456,0.974828657
0.847521774,0.976642826
0.855395091,0.978239294
0.863268409,0.979509211
0.871141726,0.980887979
0.879015044,0.98241188
0.886888361,0.984661449
0.894761679,0.986693317
0.902634996,0.988725186
0.910508314,0.990611921
0.918381631,0.992389805
0.926254949,0.993913707
0.934128266,0.995002208
0.942001584,0.995147341
0.949874901,0.995691591
0.957748219,0.996163275
0.965621536,0.996417259
0.973494854,0.996997792
0.981368171,0.997360626
0.989241489,0.99761461
0.996041172,0.997796026
